"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T009_S001",1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"E02_T009_S002",0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S003",0.00390109788040348,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S004",0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S005",0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S006",0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S007",0.00854526202374097,NA,0.00793650793650794,NA,0.000139285465561669,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S008",0,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T009_S009",0.00544296037599153,NA,0.00793650793650794,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T010_S001",1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"E02_T010_S002",0.000283600337799513,NA,0,0,0.000223740341875242,NA,NA,0.000247586036147561,NA,NA,0.000394632991318074,NA,NA,0,NA,NA,NA,0,0,NA,NA,0.000365586156470875,0.00021982853374368,NA,0.000242924814769829,0.000177357375110848,NA,NA,NA,NA,0.00011900511722004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000250265907526747,NA
"E02_T010_S003",0.00032771594590166,NA,0,0.000718132854578097,0.000313236478625339,NA,NA,0.000742758108442684,NA,NA,0.000394632991318074,NA,NA,0,NA,NA,NA,0.000310896937665164,0,NA,NA,0.000274189617353156,0.00021982853374368,NA,0.000364387222154743,0.000354714750221697,NA,NA,NA,NA,0.000238010234440081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000312832384408434,NA
"E02_T010_S004",0.00068694304044771,NA,0,0.000359066427289048,0.000805465230750873,NA,NA,0.000990344144590245,NA,NA,0.000552486187845304,NA,NA,0.00194174757281553,NA,NA,NA,0.000310896937665164,0,NA,NA,0.000578844747745552,0.00065948560123104,NA,0.000971699259079315,0.00112326337570204,NA,NA,NA,NA,0.00107104605498036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000656948007257711,NA
"E02_T010_S005",0,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T010_S006",0,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T010_S007",0.000876009932314053,NA,0.00470588235294118,0.00179533213644524,0.000939709435876018,NA,NA,0.000495172072295123,NA,NA,0.000710339384372534,NA,NA,0,NA,NA,NA,0.000932690812995492,0,NA,NA,0.000974896417255667,0.00043965706748736,NA,0.000728774444309486,0.000945906000591191,NA,NA,NA,NA,0.00154706652386053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000875930676343615,NA
"E02_T010_S008",0,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"E02_T010_S009",6.30222972887808e-06,NA,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
