"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU029","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU134","OTU135","OTU136","OTU019","OTU021","OTU032","OTU043","OTU077","OTU107","OTU109","OTU003","OTU030","OTU037","OTU046","OTU047","OTU049","OTU058","OTU065","OTU113","OTU117"
"E01_T001_S007",542,0,3,0,833,434,0,0,0,0,426,153,0,0,0,0,0,287,0,0,0,0,0,0,397,0,471,0,0,0,695,0,0,0,0,0,0,483,0,0,0,0,0,380,221,0,1819,0,355,0,0,482,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S008",0,0,0,0,0,405,0,0,0,0,816,0,0,0,0,0,0,1,0,0,0,0,0,0,433,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1656,0,1593,0,3,1077,0,0,0,0,506,0,0,0,0,0,1118,416,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S009",390,0,0,0,0,0,0,0,0,0,1022,954,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,1066,469,541,0,837,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S010",0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,1091,0,0,0,0,0,0,0,0,0,1769,0,1289,0,213,0,0,0,0,0,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S011",196,0,1,0,26,0,0,0,0,0,1167,70,0,0,0,0,369,0,0,0,0,0,0,392,454,0,54,0,0,0,509,0,0,0,0,0,0,373,0,0,354,0,0,0,1121,0,1041,0,1223,575,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S007",0,0,0,0,155,276,0,0,0,0,464,859,0,0,0,0,0,0,0,0,452,0,0,0,0,0,478,0,0,0,1315,0,0,0,0,0,0,0,0,226,0,0,229,0,1390,0,549,242,2,1038,1,0,0,0,220,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S008",175,0,1,0,0,0,0,0,0,0,254,395,0,0,0,0,0,0,0,0,256,0,0,452,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,468,0,473,0,1950,0,897,1813,3,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S009",142,0,7,0,0,0,0,0,0,0,410,1499,0,0,0,0,0,0,0,0,0,0,0,1468,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1130,1305,629,0,0,733,388,1,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S010",0,0,0,0,2,0,0,0,0,0,1147,0,0,0,0,0,531,0,0,0,0,411,0,907,634,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,436,0,167,0,713,1,887,0,462,838,3,0,0,0,426,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,258,290,0,0,0,0,0,0,0,0,0,0,906,0,0,2,0,0,854,0,0,1387,0,0,1596,6,0,0,0,1117,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
