"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136","OTU026","OTU027","OTU120","OTU035","OTU038","OTU041","OTU057","OTU060","OTU062","OTU067","OTU070","OTU072","OTU073","OTU081","OTU082","OTU087","OTU105","OTU106","OTU110","OTU111","OTU121","OTU124","OTU125","OTU127","OTU128"
"E01_T003_S015",0,5822,0,0,0,0,0,0,0,130,0,0,1074,643,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S016",0,6821,0,0,0,0,0,0,0,280,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S017",0,4659,0,0,0,0,0,0,0,955,0,0,1734,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S001",4374,0,7,0,1272,0,0,5,0,0,0,71,0,0,0,0,0,0,0,0,124,0,0,481,0,232,0,0,250,538,0,0,0,0,0,84,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S001",3861,0,8,0,1538,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,895,0,0,534,0,156,0,0,0,512,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S001",3222,0,7,0,1834,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,409,0,0,1116,0,424,0,0,147,116,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,6,0,218,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S001",2338,0,2,0,1793,0,0,83,0,0,166,89,0,0,0,0,0,124,0,0,1100,0,0,433,0,105,0,0,0,1010,0,0,0,0,47,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S001",2944,0,4,0,1202,0,0,0,0,0,35,46,0,0,0,0,0,247,0,0,730,0,0,1106,0,178,0,0,0,247,0,0,0,151,304,0,0,0,0,0,0,167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T006_S001",3492,0,7,0,1169,0,0,0,0,0,137,27,0,0,0,0,0,0,0,24,337,91,0,572,0,411,0,0,0,749,333,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T007_S001",4840,0,7,0,1169,162,0,0,0,0,0,24,0,0,0,0,0,0,0,0,265,0,0,267,0,47,0,0,0,491,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T008_S001",3989,0,6,0,626,0,0,0,0,0,0,0,0,0,0,25,2,0,0,21,443,0,0,1188,0,306,48,0,0,664,155,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,1,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T009_S001",4452,0,11,0,1206,0,0,148,0,0,121,0,0,0,0,0,0,0,0,0,561,0,0,1,0,519,0,0,0,297,0,0,0,0,98,0,0,0,0,0,0,165,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T010_S001",3539,0,12,64,1453,0,0,89,0,0,0,0,0,0,0,0,15,0,0,153,0,0,0,712,0,211,0,0,178,361,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T011_S001",3844,0,9,0,1218,0,0,0,0,0,0,72,0,0,0,0,90,0,0,0,675,0,0,529,0,416,0,0,0,349,38,0,0,114,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,20,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T012_S001",3614,0,10,0,1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,771,0,0,687,0,206,0,0,0,340,0,0,0,0,0,205,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T001_S002",3501,0,10,0,1469,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,896,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"E03_T001_S003",3746,0,11,0,1775,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,761,0,0,1,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
"E03_T001_S004",4168,0,11,0,881,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,529,0,0,0,0,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,3,10,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"E03_T001_S005",3455,0,16,0,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1536,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"E03_T002_S001",4189,0,19,0,1130,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,418,0,244,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"E03_T002_S002",2215,0,6,386,1311,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,1,0,0,402,0,0,634,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"E03_T002_S003",4619,0,15,0,1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,151,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0
"E03_T002_S004",5110,0,25,0,827,0,0,375,0,0,0,0,0,0,0,0,599,0,0,0,1,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,6,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
"E03_T002_S005",3138,0,9,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,155,0,177,1,0,199,0,157,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"E03_T003_S001",4090,0,74,0,873,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,307,0,0,698,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,182,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"E03_T003_S002",2340,0,17,0,2380,0,0,0,0,0,0,0,0,0,0,165,0,0,0,85,656,0,0,291,0,153,0,0,0,318,0,0,0,0,232,0,0,0,0,0,0,0,0,0,176,36,0,0,0,0,0,0,0,0,128,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,1,1,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S003",2515,0,6,0,1983,0,0,0,0,0,0,0,0,0,0,353,139,0,0,0,345,0,0,564,0,843,0,0,0,187,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,4,9,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"E03_T003_S004",3281,0,14,0,1704,0,0,68,0,0,0,0,0,0,0,207,0,0,0,55,1181,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,258,0,0,0,0,0,0,2,1,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"E03_T003_S005",3613,0,24,0,557,0,14,0,0,0,0,0,0,0,0,164,0,0,0,0,688,0,0,631,0,0,0,0,0,310,262,0,158,128,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,695,0,0,0,0,0,0,0,0,0,0,0,1,203,0,71,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"E03_T004_S001",2948,0,14,0,1971,0,0,0,0,0,267,48,0,0,0,0,0,0,0,0,250,0,0,267,0,882,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S002",2890,0,14,0,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,0,0,281,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,2,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"E03_T004_S003",6300,0,19,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,149,0,346,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
