"","OTU002","OTU003","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU019","OTU020","OTU021","OTU022","OTU023","OTU025","OTU028","OTU029","OTU030","OTU032","OTU033","OTU034","OTU036","OTU037","OTU042","OTU043","OTU044","OTU046","OTU047","OTU049","OTU053","OTU054","OTU055","OTU056","OTU058","OTU059","OTU061","OTU063","OTU064","OTU065","OTU066","OTU067","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU077","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU099","OTU100","OTU101","OTU102","OTU103","OTU104","OTU107","OTU108","OTU109","OTU112","OTU113","OTU115","OTU116","OTU117","OTU118","OTU119","OTU122","OTU123","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136"
"E01_T001_S015",1283,0,17624,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,1844,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,2,0,0,0,27,0,0,0,0,0,0,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,0,161,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0
"E01_T001_S016",850,0,10170,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0
"E01_T001_S017",0,0,14690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,0,1161,0,0,0,1506,2028,213,0,0,0,0,1912,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,0,1660,0,0,0,0,0,0,0,0,0,0
"E01_T001_S020",682,2000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,0,0,0,3539,0,3807,0,0,0,0,1910,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,0,3428,0,0,0,0,0,0,0,0,0,0
"E01_T001_S021",528,3966,0,4,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,1382,0,0,0,3180,641,3103,0,0,0,0,1507,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4867,0,0,601,0,0,0,0,0,0,0,0,0,0
"E01_T001_S022",0,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,670,1059,3164,2477,0,0,0,0,688,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4018,0,0,4359,0,0,0,0,0,0,0,0,0,0
"E01_T001_S023",0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,0,0,898,0,0,0,1267,806,3,0,0,0,0,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,0,0,554,0,0,0,0,0,0,0,0,0,0
"E01_T001_S024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
