"query","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","infraclass","cohort","subcohort","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"OTU00051","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","","","","","","",""
"OTU00052","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia","","","","","Batrachia","Caudata","","","Salamandroidea","Salamandridae","Pleurodelinae","","","","",""
"OTU00053","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Chaetodontiformes","","","","Leiognathidae","","","Nuchequula","","",""
"OTU00054","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Syngnathiformes","Callionymoidei","","","Callionymidae","","","Repomucenus","","",""
"OTU00055","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Syngnathiformes","Callionymoidei","","","Callionymidae","","","Callionymus","Callionymus","Callionymus valenciennei",""
"OTU00056","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","",""
"OTU00057","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Parajulis","","Parajulis poecilepterus",""
"OTU00058","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_takifugu",""
"OTU00059","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Clupeidae","Dorosomatinae","","Konosirus","","Konosirus punctatus",""
"OTU00060","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Siganidae","","","Siganus","","",""
"OTU00061","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Pseudolabrus","","Pseudolabrus sieboldi",""
"OTU00062","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","",""
"OTU00063","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","Takifugu alboplumbeus",""
"OTU00064","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Malacanthidae","Latilinae","","Branchiostegus","","",""
"OTU00065","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_Engraulis",""
"OTU00066","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Engraulidae","Engraulinae","","Engraulis","","Engraulis japonicus",""
"OTU00067","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Odontobutidae","","","Odontobutis","","Odontobutis obscura",""
"OTU00068","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","","","Balistoidea","Monacanthidae","","","Rudarius","","Rudarius ercodes",""
"OTU00069","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Blenniiformes","Blennioidei","","","Blenniidae","Blenniinae","","Omobranchus","","Omobranchus punctatus",""
"OTU00070","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Syngnathiformes","Syngnathoidei","","","Syngnathidae","Syngnathinae","","Syngnathus","","Syngnathus schlegeli",""
"OTU00071","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Blenniiformes","Blennioidei","","","Blenniidae","Blenniinae","","Omobranchus","","Omobranchus elegans",""
"OTU00072","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Blenniiformes","Blennioidei","","","Blenniidae","Blenniinae","","Omobranchus","","",""
"OTU00073","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Platycephaloidei","","","Platycephalidae","","","Platycephalus","","",""
