"query","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","infraclass","cohort","subcohort","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"OTU00100","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cobitoidei","","","Cobitidae","Cobitinae","","Misgurnus","","Misgurnus anguillicaudatus",""
"OTU00101","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","Atherinomorphae","Beloniformes","Belonoidei","","","Exocoetidae","","","","","",""
"OTU00102","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Carangiformes","","","","Carangidae","","","Seriola","","Seriola quinqueradiata",""
"OTU00103","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","Atherinomorphae","Beloniformes","Belonoidei","","","Hemiramphidae","","","Hyporhamphus","","",""
"OTU00104","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Carangiformes","","","","Carangidae","","","Trachurus","","",""
"OTU00105","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Luciogobius","","",""
"OTU00106","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Centrarchiformes","","","Terapontoidei","Terapontidae","","","Rhynchopelates","","Rhynchopelates oxyrhynchus",""
"OTU00107","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Centrarchiformes","","","Centrarchoidei","Centrarchidae","","","Lepomis","","Lepomis macrochirus",""
"OTU00108","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Clupeidae","Clupeinae","","Sardinella","","",""
"OTU00109","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","Atherinomorphae","Beloniformes","Adrianichthyoidei","","","Adrianichthyidae","Oryziinae","","Oryzias","","Oryzias latipes",""
"OTU00110","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Embiotocidae","","","Ditrema","","",""
"OTU00111","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Ptereleotrinae","","Parioglossus","","Parioglossus dotui",""
"OTU00112","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Clupeidae","Clupeinae","","Sardinops","","Sardinops melanostictus",""
"OTU00113","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_lateolabrax",""
"OTU00114","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_lateolabrax",""
"OTU00115","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Chaenogobius","","Chaenogobius annularis",""
"OTU00116","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Acanthogobius","","Acanthogobius flavimanus",""
"OTU00117","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","","","","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_Anguilla",""
"OTU00118","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Osmeriformes","","","","Plecoglossidae","","","Plecoglossus","","Plecoglossus altivelis",""
