temp,value,site,replicate
66.68968504,0.321575344,River_Seta,R02
66.98133858,0.338931489,River_Seta,R02
67.27299213,0.359556181,River_Seta,R02
67.56464567,0.386182486,River_Seta,R02
67.85629921,0.419762543,River_Seta,R02
68.14795276,0.458634477,River_Seta,R02
68.4396063,0.497465753,River_Seta,R02
68.73125984,0.532901737,River_Seta,R02
69.02291339,0.565486219,River_Seta,R02
69.31456693,0.595532194,River_Seta,R02
69.60622047,0.622147308,River_Seta,R02
69.89787402,0.644554978,River_Seta,R02
70.18952756,0.663804461,River_Seta,R02
70.4811811,0.681226557,River_Seta,R02
70.77283465,0.69737104,River_Seta,R02
71.06448819,0.712331931,River_Seta,R02
71.35614173,0.72452498,River_Seta,R02
71.64779528,0.732178922,River_Seta,R02
71.93944882,0.736856213,River_Seta,R02
72.23110236,0.740726656,River_Seta,R02
72.52275591,0.74400681,River_Seta,R02
72.81440945,0.744642783,River_Seta,R02
73.10606299,0.741870863,River_Seta,R02
73.39771654,0.736728077,River_Seta,R02
73.68937008,0.728981276,River_Seta,R02
73.98102362,0.720019915,River_Seta,R02
74.27267717,0.715590033,River_Seta,R02
74.56433071,0.718020928,River_Seta,R02
74.85598425,0.723109574,River_Seta,R02
75.1476378,0.726625279,River_Seta,R02
75.43929134,0.728135298,River_Seta,R02
75.73094488,0.727411618,River_Seta,R02
76.02259843,0.724457265,River_Seta,R02
76.31425197,0.720643476,River_Seta,R02
76.60590551,0.717289045,River_Seta,R02
76.89755906,0.718282466,River_Seta,R02
77.1892126,0.724527572,River_Seta,R02
77.48086614,0.737229669,River_Seta,R02
77.77251969,0.760020347,River_Seta,R02
78.06417323,0.789333026,River_Seta,R02
78.35582677,0.820238843,River_Seta,R02
78.64748031,0.850977684,River_Seta,R02
78.93913386,0.876001433,River_Seta,R02
79.2307874,0.889990551,River_Seta,R02
79.52244094,0.898004342,River_Seta,R02
79.81409449,0.911138496,River_Seta,R02
80.10574803,0.941081233,River_Seta,R02
80.39740157,1.000019878,River_Seta,R02
80.68905512,1.097500204,River_Seta,R02
80.98070866,1.248604409,River_Seta,R02
81.2723622,1.474039602,River_Seta,R02
81.56401575,1.792367784,River_Seta,R02
81.85566929,2.222891359,River_Seta,R02
82.14732283,2.778587542,River_Seta,R02
82.43897638,3.426322166,River_Seta,R02
82.73062992,4.054455227,River_Seta,R02
83.02228346,4.493639844,River_Seta,R02
83.31393701,4.577102185,River_Seta,R02
83.60559055,4.278540154,River_Seta,R02
83.89724409,3.775028998,River_Seta,R02
84.18889764,3.245385882,River_Seta,R02
84.48055118,2.697516668,River_Seta,R02
84.77220472,2.063046074,River_Seta,R02
85.06385827,1.383919807,River_Seta,R02
85.35551181,0.796410833,River_Seta,R02
85.64716535,0.381346666,River_Seta,R02
85.9388189,0.136514821,River_Seta,R02
86.23047244,0.021838078,River_Seta,R02
86.52212598,-0.010454868,River_Seta,R02
86.81377953,-0.000800063,River_Seta,R02
87.10543307,0.023138963,River_Seta,R02
87.39708661,0.044829738,River_Seta,R02
87.68874016,0.058686406,River_Seta,R02
87.9803937,0.065289997,River_Seta,R02
88.27204724,0.066341455,River_Seta,R02
88.56370079,0.063650281,River_Seta,R02
88.85535433,0.05912685,River_Seta,R02
89.14700787,0.053995097,River_Seta,R02
89.43866142,0.049779205,River_Seta,R02
89.73031496,0.046672405,River_Seta,R02
90.0219685,0.043588925,River_Seta,R02
90.31362205,0.041367795,River_Seta,R02
90.60527559,0.040051836,River_Seta,R02
90.89692913,0.037466424,River_Seta,R02
91.18858268,0.032841214,River_Seta,R02
91.48023622,0.027737207,River_Seta,R02
91.77188976,0.024434162,River_Seta,R02
92.06354331,0.023577409,River_Seta,R02
92.35519685,0.023166568,River_Seta,R02
92.64685039,0.022077619,River_Seta,R02
92.93850394,0.020315173,River_Seta,R02
93.23015748,0.018595584,River_Seta,R02
93.52181102,0.017725324,River_Seta,R02
93.81346457,0.016875551,River_Seta,R02
94.10511811,0.015410753,River_Seta,R02
94.39677165,0.014210854,River_Seta,R02
94.6884252,0.014292369,River_Seta,R02
94.98007874,0.015012905,River_Seta,R02
95.27173228,0.014927837,River_Seta,R02
95.56338583,0.013758042,River_Seta,R02
95.85503937,0.012151304,River_Seta,R02
96.14669291,0.01086588,River_Seta,R02
96.43834646,0.010433884,River_Seta,R02
96.73,0.010433884,River_Seta,R02
59.69,-0.090262567,River_Seta,R03
59.98165354,-0.090262567,River_Seta,R03
60.27330709,-0.079135437,River_Seta,R03
60.56496063,-0.03049001,River_Seta,R03
